time (s),raw,voltage (V)
0.0006847381591796875,30819,3.8524925687429428
0.0016031265258789062,30984,3.8731181981872007
0.002257108688354492,30984,3.8731181981872007
0.0028731822967529297,30631,3.8289918515579697
0.0034444332122802734,30631,3.8289918515579697
0.00406646728515625,31624,3.953120639667959
0.004735231399536133,31624,3.953120639667959
0.005337238311767578,30654,3.8318669392986844
0.00593876838684082,30654,3.8318669392986844
0.006512880325317383,31000,3.8751182592242195
0.007094144821166992,31000,3.8751182592242195
0.007661342620849609,30823,3.8529925840021977
0.008231878280639648,30823,3.8529925840021977
0.00879669189453125,30120,3.765114902188177
0.009360790252685547,30120,3.765114902188177
0.00992894172668457,30880,3.8601178014465773
0.010522603988647461,30880,3.8601178014465773
0.01109170913696289,31034,3.8793683889278845
0.01165771484375,31034,3.8793683889278845
0.012223958969116211,30407,3.8009909970397047
0.01278996467590332,30407,3.8009909970397047
0.01336359977722168,30407,3.8009909970397047
0.013964653015136719,30602,3.825366740928373
0.014561891555786133,30602,3.825366740928373
0.01515960693359375,31359,3.9199946287423324
0.015773773193359375,31359,3.9199946287423324
0.016371488571166992,30991,3.873993224890896
0.016962289810180664,30991,3.873993224890896
0.017575740814208984,30379,3.797490890224921
0.018185138702392578,30379,3.797490890224921
0.01878666877746582,30419,3.802491042817469
0.019364595413208008,30419,3.802491042817469
0.019968748092651367,30606,3.8258667561876276
0.020565271377563477,30606,3.8258667561876276
0.021147966384887695,30611,3.826491775261696
0.02172565460205078,30611,3.826491775261696
0.022329330444335938,30345,3.793240760521256
0.02291703224182129,30345,3.793240760521256
0.02348470687866211,31156,3.894618854335154
0.02405405044555664,31156,3.894618854335154
0.024626731872558594,30903,3.862992889187292
0.025213003158569336,30903,3.862992889187292
0.025780916213989258,30253,3.781740409558397
0.02635335922241211,30253,3.781740409558397
0.02692270278930664,31187,3.8984939725943786
0.02748847007751465,31187,3.8984939725943786
0.028052091598510742,31428,3.928619891964477
0.02861618995666504,31428,3.928619891964477
0.029195785522460938,30618,3.827366801965392
0.029761552810668945,30618,3.827366801965392
0.03032684326171875,30988,3.873618213446455
0.03090500831604004,30988,3.873618213446455
0.03147697448730469,31720,3.9651210058900723
0.0320439338684082,31720,3.9651210058900723
0.03262019157409668,31843,3.980496475112156
0.03318428993225098,31843,3.980496475112156
0.03375840187072754,31843,3.980496475112156
0.034331560134887695,30913,3.8642429273354293
0.03489995002746582,30913,3.8642429273354293
0.03547096252441406,30661,3.8327419660023807
0.03603482246398926,30661,3.8327419660023807
0.03659987449645996,31309,3.913744438001648
0.03716397285461426,31309,3.913744438001648
0.03773069381713867,31381,3.922744712668233
0.03830838203430176,31381,3.922744712668233
0.03887486457824707,30848,3.8561176793725394
0.03943943977355957,30848,3.8561176793725394
0.04001617431640625,30259,3.782490432447279
0.04058218002319336,30259,3.782490432447279
0.0411527156829834,31445,3.9307449568163095
0.04172015190124512,31445,3.9307449568163095
0.042285919189453125,31821,3.9777463911862547
0.04289388656616211,31821,3.9777463911862547
0.04346132278442383,30539,3.817491500595111
0.0440526008605957,30539,3.817491500595111
0.0446164608001709,30539,3.817491500595111
0.04520559310913086,30984,3.8731181981872007
0.04577517509460449,30984,3.8731181981872007
0.04636383056640625,31387,3.9234947355571155
0.04694700241088867,31387,3.9234947355571155
0.04753541946411133,31838,3.9798714560380875
0.04810690879821777,31838,3.9798714560380875
0.04870152473449707,31392,3.924119754631184
0.04926800727844238,31392,3.924119754631184
0.04985857009887695,30712,3.8391171605578784
0.05042219161987305,30712,3.8391171605578784
0.051010847091674805,31410,3.92636982329783
0.0515742301940918,31410,3.92636982329783
0.05216240882873535,32242,4.030372997222816
0.052725791931152344,32242,4.030372997222816
0.05329179763793945,30323,3.790490676595355
0.053863525390625,30323,3.790490676595355
0.05443549156188965,30246,3.780865382854701
0.05500483512878418,30246,3.780865382854701
0.055576324462890625,32574,4.071874263740959
0.05613970756530762,32574,4.071874263740959
0.05670976638793945,31236,3.9046191595202493
0.057273149490356445,31236,3.9046191595202493
0.05784153938293457,30016,3.752114505447554
0.05841231346130371,30016,3.752114505447554
0.05898022651672363,30016,3.752114505447554
0.05954885482788086,30879,3.859992797631764
0.06011390686035156,30879,3.859992797631764
0.060678958892822266,31566,3.945870418408765
0.061243295669555664,31566,3.945870418408765
0.061823129653930664,30986,3.873368205816828
0.06238865852355957,30986,3.873368205816828
0.06295323371887207,30118,3.7648648945585497
0.06351709365844727,30118,3.7648648945585497
0.06408262252807617,30365,3.79574083681753
0.06464672088623047,30365,3.79574083681753
0.06521272659301758,31370,3.9213696707052828
0.06578397750854492,31370,3.9213696707052828
0.06634879112243652,31679,3.959995849482711
0.06691288948059082,31679,3.959995849482711
0.06748366355895996,30279,3.784990508743553
0.06804680824279785,30279,3.784990508743553
0.06860971450805664,30279,3.784990508743553
0.06918025016784668,30903,3.862992889187292
0.06975102424621582,30903,3.862992889187292
0.07031631469726562,31683,3.9604958647419664
0.07087993621826172,31683,3.9604958647419664
0.07144546508789062,30767,3.845992370372631
0.07200741767883301,30767,3.845992370372631
0.07257723808288574,30177,3.7722401196325572
0.07314586639404297,30177,3.7722401196325572
0.07371759414672852,31368,3.9211196630756553
0.07429289817810059,31368,3.9211196630756553
0.07486271858215332,31097,3.887243629261147
0.07545804977416992,31097,3.887243629261147
0.0760507583618164,31353,3.91924460585345
0.07662725448608398,31353,3.91924460585345
0.07719159126281738,30757,3.8447423322244942
0.07778167724609375,30757,3.8447423322244942
0.07834410667419434,30871,3.858992767113254
0.07893228530883789,30871,3.858992767113254
