time (s),recovered_signal (V),recovered_signal_normalized
0.0006623268127441,0.0038669038991501143,0.09015517927103613
0.0013082027435302,0.003914756090556244,0.09127304115205373
0.0020716190338134,0.0039630542633283155,0.0924013214810876
0.0027625560760498,0.004011732021482153,0.0935384691998146
0.0033609867095947,0.004060721428792417,0.09468289726876136
0.0039303302764892,0.004109953161860229,0.09583298624307507
0.0045170783996582,0.004159356666740616,0.09698708793145411
0.0051674842834472,0.0042088603183633045,0.09814352912033326
0.005868911743164,0.004258391582021342,0.09930061534637513
0.0064432621002197,0.004307877176242557,0.10045663470126541
0.0070164203643798,0.0043572432363978226,0.10160986165372057
0.0075855255126953,0.0044064154784384845,0.10275856087451289
0.0081584453582763,0.004455319362193085,0.10390099105120026
0.0087244510650634,0.004503880253689758,0.10503540868009506
0.0092897415161132,0.004552023586006202,0.10616007182383609
0.0098564624786376,0.004599675018184077,0.10727324382374405
0.010448932647705,0.004646760591777902,0.10837319695691744
0.0110151767730712,0.004693206884641182,0.10945821602878776
0.01157808303833,0.004738941161584328,0.11052660189259787
0.0121412277221679,0.004783891521569184,0.11157667488797278
0.0127043724060058,0.00482798704113447,0.11260677819144205
0.0132687091827392,0.004871157913775274,0.11361528107244571
0.0138380527496337,0.0049133355850267835,0.11460058204898811
0.0144157409667968,0.004954452883028855,0.11556111193772102
0.0149939060211181,0.0049944441443736986,0.11649533679383672
0.0155832767486572,0.005033245335062869,0.11740176073671099
0.0161664485931396,0.005070794166423052,0.1182789286577799
0.0167665481567382,0.0051070302058526685,0.11912542880766079
0.0173795223236084,0.005141894982292162,0.11993989526001468
0.0179781913757324,0.005175332086331033,0.12072101025011908
0.0185692310333251,0.0052072872648841586,0.12146750638657551
0.0191531181335449,0.0052377085103877535,0.12217816873499181
0.0197350978851318,0.005266546144482542,0.12285183677288165
0.0203027725219726,0.005293752896168226,0.12348740621540967
0.0208680629730224,0.00531928397442824,0.12408383071195822
0.0214338302612304,0.005343097135338116,0.12464012341382764
0.0220003128051757,0.0053651527436845555,0.12515535841370226
0.0225653648376464,0.0053854138291343275,0.1256286720577967
0.0231268405914306,0.005403846137003881,0.12605926413187077
0.0236892700195312,0.005420418173691567,0.12644639892255907
0.0242514610290527,0.00543510124684392,0.12678940615568457
0.0248277187347412,0.005447869500336605,0.12708768181343874
0.0253899097442626,0.005458699944159288,0.12734068883251393
0.0259528160095214,0.0054675724793007896,0.12754795768543845
0.0265138149261474,0.005474469917737796,0.12770908684752752
0.0270755290985107,0.005479377997636805,0.1278237431520116
0.0276362895965576,0.005482285393883908,0.12789166203601976
0.0281989574432373,0.005483183724061899,0.1279126476802094
0.0287709236145019,0.005482067549998555,0.12788657304493506
0.0293347835540771,0.005478934375012969,0.1278133798059208
0.0298984050750732,0.005473784636989841,0.1276930781924707
0.0304675102233886,0.0054666216974142276,0.12752574673131248
0.0310299396514892,0.005457451826500614,0.12731153189920202
0.0315942764282226,0.0054462841845515616,0.12705064768744784
0.0321707725524902,0.005433130799682268,0.12674337508154054
0.0327324867248535,0.005418006542047268,0.12639006145906995
0.0333075523376464,0.005400929094705508,0.12599111990911216
0.0338761806488037,0.0053819189212598335,0.12554702847626442
0.0344455242156982,0.0053609992304055245,0.1250583293324733
0.0350162982940673,0.005338195937521407,0.12452562787977518
0.035581350326538,0.005313537623435737,0.12394959178703735
0.0361444950103759,0.005287055490496626,0.12333094996373142
0.0367083549499511,0.005258783316074703,0.12267049147372172
0.0372726917266845,0.00522875740362345,0.12196906439199924
0.0378468036651611,0.005197016531419344,0.12122757460721426
0.0384142398834228,0.005163601899101099,0.12044698457279425
0.0389792919158935,0.005128557072124257,0.1196283120093628
0.0395510196685791,0.005091927924243365,0.1187726285610817
0.0401151180267334,0.005053762578130477,0.11788105840845593
0.0406789779663085,0.005014111344235002,0.11695477684005558
0.041243553161621,0.004973026657985369,0.11599500878550104
0.04180908203125,0.0049305630154288325,0.11500302731196235
0.0423839092254638,0.0048867769074015565,0.11398015208632452
0.0429506301879882,0.004841726752315933,0.11292774780505062
0.0435154438018798,0.004795472827647516,0.1118472225936669
0.0440785884857177,0.0047480772001991965,0.11074002637768338
0.0446422100067138,0.004699603655214567,0.10960764922663052
0.045210838317871,0.004650117624407332,0.10845161967277432
0.0457732677459716,0.004599686112968347,0.10727350300594761
0.0463566780090332,0.004548377625605638,0.1060748995457914
0.0469329357147216,0.0044962620916671105,0.10485744289256704
0.0474958419799804,0.004443410789389811,0.10362279815756412
0.048060655593872,0.0043898962693129685,0.10237266017397346
0.0486257076263427,0.004335792276886434,0.10110875168896437
0.0491907596588134,0.004281173674301091,0.09983282153758613
0.0497536659240722,0.00422611636156258,0.09854664279899315
0.050318956375122,0.004170697196826087,0.09725201093540783
0.050879955291748,0.004114993916007476,0.09595074191417831
0.0514423847198486,0.004059085051683875,0.09464467031323733
0.0520062446594238,0.004003049851296317,0.0933356474102568
0.0525686740875244,0.003946968194667602,0.09202553925580502
0.0531337261199951,0.003890920510849338,0.09071622473083349
0.0537018775939941,0.003834987694314496,0.08940959358887411
0.0542747974395751,0.003779251020515047,0.08810754448340442
0.0548381805419921,0.0037237920608277713,0.08681198298092004
0.0554020404815673,0.0036686925969161514,0.08552481956036634
0.0559706687927246,0.003614034534541883,0.084247967599713
0.0565345287322998,0.0035598998168652985,0.0829833413505889
0.057098388671875,0.0035063703372809046,0.08173285390205717
0.0576632022857666,0.003453527851841733,0.08049841513478455
0.0582275390625,0.0034014538913337638,0.0792819296670361
0.058791160583496,0.0033502296730701267,0.07808529479412389
